brash	0.0	0.0	0.0	0.0	0.0
brave	0.0	0.0	0.0	0.0	0.0
brawny	0.0	0.0	0.0	0.0	0.0
breakable	0.0	0.0	0.0	0.0	0.0
breezy	0.0	0.0	0.0	0.0	0.0
brief	0.0	0.0	0.0	0.0	0.0
bright	0.0	0.0	0.0	3.0	3.0
bright	0.0	0.0	0.0	0.0	0.0
broad	0.0	0.0	0.0	0.0	0.0
broken	0.0	1.0	12.0	1.0	14.0
brown	0.0	0.0	0.0	0.0	0.0
bumpy	0.0	0.0	0.0	0.0	0.0
burly	0.0	0.0	0.0	0.0	0.0
bustling	0.0	0.0	0.0	0.0	0.0
busy	0.0	0.0	1.0	0.0	1.0
cagey	0.0	0.0	0.0	0.0	0.0
calculating	0.0	0.0	0.0	0.0	0.0
callous	0.0	0.0	0.0	0.0	0.0
calm	0.0	0.0	0.0	0.0	0.0
capable	0.0	0.0	0.0	0.0	0.0
capricious	0.0	0.0	0.0	0.0	0.0
careful	0.0	0.0	0.0	0.0	0.0
careless	0.0	0.0	0.0	1.0	1.0
caring	0.0	0.0	0.0	0.0	0.0
cautious	0.0	0.0	0.0	0.0	0.0
ceaseless	0.0	0.0	0.0	0.0	0.0
certain	0.0	0.0	2.0	0.0	2.0
changeable	0.0	0.0	0.0	0.0	0.0
charming	0.0	0.0	0.0	0.0	0.0
cheap	0.0	0.0	0.0	0.0	0.0
cheerful	0.0	0.0	0.0	0.0	0.0
chemical	0.0	0.0	0.0	0.0	0.0
chief	0.0	0.0	0.0	0.0	0.0
childlike	0.0	0.0	0.0	0.0	0.0
chilly	0.0	0.0	0.0	0.0	0.0
chivalrous	0.0	0.0	0.0	0.0	0.0
chubby	0.0	0.0	0.0	0.0	0.0
chunky	0.0	0.0	0.0	0.0	0.0
clammy	0.0	0.0	0.0	0.0	0.0
classy	0.0	0.0	0.0	1.0	1.0
clean	0.0	0.0	0.0	0.0	0.0
clear	1.0	0.0	1.0	0.0	2.0
clever	0.0	0.0	0.0	0.0	0.0
cloistered	0.0	0.0	0.0	0.0	0.0
cloudy	0.0	0.0	0.0	0.0	0.0
closed	0.0	0.0	0.0	0.0	0.0
clumsy	0.0	0.0	0.0	0.0	0.0
cluttered	0.0	0.0	0.0	0.0	0.0
coherent	0.0	0.0	0.0	0.0	0.0
cold	0.0	0.0	0.0	0.0	0.0
colorful	0.0	0.0	0.0	0.0	0.0
colossal	0.0	0.0	0.0	0.0	0.0
combative	0.0	0.0	0.0	0.0	0.0
comfortable	0.0	0.0	0.0	0.0	0.0
common	0.0	1.0	0.0	0.0	1.0
complete	0.0	0.0	0.0	1.0	1.0
complex	0.0	0.0	0.0	0.0	0.0
concerned	0.0	0.0	0.0	0.0	0.0
condemned	0.0	0.0	0.0	0.0	0.0
confused	0.0	0.0	1.0	0.0	1.0
conscious	0.0	0.0	0.0	0.0	0.0
cooing	0.0	0.0	0.0	0.0	0.0
cool	0.0	0.0	1.0	2.0	3.0
cooperative	0.0	0.0	0.0	0.0	0.0
coordinated	0.0	0.0	0.0	0.0	0.0
courageous	0.0	0.0	0.0	0.0	0.0
cowardly	0.0	0.0	0.0	0.0	0.0
crabby	0.0	0.0	0.0	0.0	0.0
craven	0.0	0.0	0.0	0.0	0.0
crazy	0.0	0.0	0.0	0.0	0.0
creepy	0.0	0.0	0.0	0.0	0.0
crooked	0.0	0.0	0.0	0.0	0.0
crowded	0.0	0.0	0.0	0.0	0.0
cruel	2.0	0.0	0.0	0.0	2.0
cuddly	0.0	0.0	0.0	0.0	0.0
cultured	0.0	0.0	0.0	0.0	0.0
cumbersome	0.0	0.0	0.0	0.0	0.0
curious	0.0	0.0	0.0	0.0	0.0
curly	0.0	0.0	0.0	0.0	0.0
curved	0.0	0.0	0.0	0.0	0.0
curvy	0.0	0.0	0.0	0.0	0.0
cut	0.0	1.0	2.0	0.0	3.0
cute	0.0	1.0	0.0	3.0	4.0
cute	0.0	0.0	0.0	0.0	0.0
cynical	0.0	0.0	0.0	0.0	0.0
daffy	0.0	0.0	0.0	0.0	0.0
daily	0.0	1.0	1.0	0.0	2.0
damaged	0.0	0.0	0.0	0.0	0.0
damaging	0.0	0.0	0.0	0.0	0.0
damp	0.0	0.0	0.0	0.0	0.0
dangerous	0.0	0.0	0.0	0.0	0.0
dapper	0.0	0.0	0.0	0.0	0.0
dark	1.0	1.0	0.0	2.0	4.0
dashing	0.0	0.0	0.0	0.0	0.0
dazzling	0.0	0.0	0.0	0.0	0.0
dead	0.0	0.0	0.0	2.0	2.0
deadpan	0.0	0.0	0.0	0.0	0.0
deafening	0.0	0.0	0.0	0.0	0.0
dear	0.0	0.0	2.0	2.0	4.0
debonair	0.0	0.0	0.0	0.0	0.0
decisive	0.0	0.0	0.0	0.0	0.0
decorous	0.0	0.0	0.0	0.0	0.0
deep	1.0	0.0	0.0	1.0	2.0
deeply	0.0	0.0	0.0	1.0	1.0
defeated	0.0	0.0	0.0	0.0	0.0
defective	0.0	0.0	0.0	0.0	0.0
defiant	0.0	0.0	0.0	0.0	0.0
delicate	0.0	0.0	0.0	1.0	1.0
delicious	0.0	0.0	0.0	0.0	0.0
delightful	0.0	0.0	0.0	0.0	0.0
demonic	0.0	0.0	0.0	0.0	0.0
delirious	0.0	0.0	0.0	0.0	0.0
dependent	0.0	0.0	0.0	0.0	0.0
depressed	0.0	0.0	0.0	0.0	0.0
deranged	0.0	0.0	0.0	0.0	0.0
descriptive	0.0	0.0	0.0	0.0	0.0
deserted	0.0	0.0	0.0	0.0	0.0
detailed	0.0	0.0	0.0	0.0	0.0
determined	0.0	0.0	0.0	0.0	0.0
devilish	0.0	0.0	0.0	0.0	0.0
didactic	0.0	0.0	0.0	0.0	0.0
different	0.0	3.0	0.0	1.0	4.0
difficult	0.0	0.0	1.0	0.0	1.0
diligent	0.0	0.0	0.0	0.0	0.0
direful	0.0	0.0	0.0	0.0	0.0
dirty	0.0	0.0	0.0	0.0	0.0
disagreeable	0.0	0.0	0.0	0.0	0.0
disastrous	0.0	0.0	0.0	0.0	0.0
discreet	0.0	0.0	0.0	0.0	0.0
disgusted	0.0	0.0	0.0	0.0	0.0
disgusting	0.0	0.0	0.0	0.0	0.0
disillusioned	0.0	0.0	0.0	0.0	0.0
dispensable	0.0	0.0	0.0	0.0	0.0
distinct	0.0	0.0	0.0	0.0	0.0
disturbed	0.0	0.0	0.0	0.0	0.0
divergent	0.0	0.0	0.0	0.0	0.0
dizzy	0.0	0.0	0.0	0.0	0.0
domineering	0.0	0.0	0.0	0.0	0.0
doubtful	0.0	0.0	0.0	0.0	0.0
drab	0.0	0.0	0.0	0.0	0.0
draconian	0.0	0.0	0.0	0.0	0.0
dramatic	0.0	0.0	0.0	0.0	0.0
dreary	0.0	0.0	0.0	0.0	0.0
drunk	0.0	0.0	0.0	0.0	0.0
dry	0.0	0.0	0.0	0.0	0.0
dull	0.0	0.0	0.0	0.0	0.0
dusty	0.0	0.0	0.0	0.0	0.0
dusty	0.0	0.0	0.0	0.0	0.0
dynamic	0.0	0.0	0.0	0.0	0.0
dysfunctional	0.0	0.0	0.0	0.0	0.0
eager	0.0	0.0	0.0	0.0	0.0
early	0.0	0.0	0.0	0.0	0.0
earsplitting	0.0	0.0	0.0	0.0	0.0
earthy	0.0	0.0	0.0	0.0	0.0
easy	1.0	1.0	0.0	2.0	4.0
eatable	0.0	0.0	0.0	0.0	0.0
economic	0.0	0.0	0.0	0.0	0.0
educated	0.0	0.0	0.0	0.0	0.0
efficacious	0.0	0.0	0.0	0.0	0.0
efficient	0.0	0.0	0.0	0.0	0.0
eight	0.0	0.0	0.0	0.0	0.0
elastic	0.0	0.0	0.0	0.0	0.0
elated	0.0	0.0	0.0	0.0	0.0
elderly	0.0	0.0	0.0	0.0	0.0
electric	0.0	0.0	0.0	1.0	1.0
elegant	0.0	0.0	0.0	0.0	0.0
elfin	0.0	0.0	0.0	0.0	0.0
elite	0.0	0.0	0.0	0.0	0.0
embarrassed	0.0	0.0	0.0	0.0	0.0
eminent	0.0	0.0	0.0	0.0	0.0
empty	0.0	0.0	0.0	3.0	3.0
enchanted	0.0	0.0	0.0	0.0	0.0
enchanting	0.0	0.0	0.0	0.0	0.0
encouraging	0.0	0.0	0.0	0.0	0.0
endurable	0.0	0.0	0.0	0.0	0.0
energetic	0.0	0.0	0.0	0.0	0.0
enormous	0.0	0.0	0.0	0.0	0.0
entertaining	0.0	0.0	0.0	0.0	0.0
enthusiastic	0.0	0.0	0.0	0.0	0.0
envious	0.0	0.0	0.0	0.0	0.0
equable	0.0	0.0	0.0	0.0	0.0
equal	0.0	0.0	2.0	0.0	2.0
erect	0.0	0.0	0.0	0.0	0.0
